11,19
10,10,10,10,10,10,10,10,10,10,130,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,130,10,10,130,10,10,
10,10,10,10,130,10,130,10,10,10,10,10,10,10,10,130,130,10,10,
10,10,10,10,10,10,10,10,130,10,10,10,10,10,10,10,10,10,10,
10,10,10,130,10,10,10,10,10,10,130,10,10,10,10,10,10,10,10,
10,10,130,10,10,10,10,10,10,10,10,10,10,10,10,130,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
