11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,181,11,11,11,11,11,11,11,11,
11,11,11,11,11,181,181,11,11,11,11,11,11,11,
11,11,11,11,11,181,181,181,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,181,181,11,11,11,181,11,11,11,11,
11,11,11,11,11,181,181,11,181,11,11,11,11,11,
11,11,11,11,11,181,181,181,11,181,11,11,11,11,
11,11,11,181,11,181,11,11,181,11,181,11,11,11,
11,11,11,181,11,181,181,11,181,11,181,11,11,11,
11,11,11,11,181,11,181,181,181,181,181,11,11,11,
11,11,11,11,11,11,181,181,181,11,11,11,11,11,
11,11,11,11,11,181,181,181,181,181,181,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,
