14,17
100,100,120,130,140,100,151,10,10,10,10,10,10,10,
81,91,120,130,140,100,151,10,10,10,10,10,10,10,
181,191,120,130,140,100,151,10,10,10,10,10,10,10,
100,100,120,130,140,100,151,10,10,10,10,10,10,10,
100,100,120,130,140,100,151,10,10,10,10,10,10,10,
100,100,120,130,140,100,251,261,261,261,261,261,81,91,
81,91,120,130,140,100,100,100,100,81,91,100,181,191,
181,191,120,130,140,100,100,100,100,181,191,100,100,151,
100,100,120,130,130,30,30,30,30,30,30,30,40,151,
100,100,120,130,130,130,130,130,130,130,130,130,140,151,
100,100,220,230,230,230,230,230,230,230,130,130,140,151,
61,61,61,61,61,61,61,61,61,71,120,130,140,151,
10,10,10,10,10,10,10,10,10,171,120,130,140,151,
10,10,10,10,10,10,10,10,10,171,120,130,140,151,
10,10,10,10,10,10,10,10,10,171,120,130,140,151,
10,10,10,10,10,10,10,10,10,171,120,130,140,151,
10,10,10,10,10,10,10,10,10,171,120,130,140,151,
