14,17
730,730,730,730,831,761,761,761,10,10,10,10,10,10,10,10,10,
730,730,730,730,831,761,761,761,10,10,10,951,1051,1051,1051,1051,1051,
730,730,730,730,831,761,761,761,10,10,951,871,20,120,120,120,120,
730,730,730,730,831,761,761,761,10,951,871,20,300,130,130,130,130,
730,730,730,730,831,761,761,951,1051,871,20,300,130,130,130,130,130,
730,730,730,730,831,761,761,961,20,200,300,130,130,130,130,130,130,
730,730,730,730,831,761,761,961,30,130,130,130,130,130,130,130,130,
730,730,730,730,831,761,761,961,30,130,130,130,130,130,130,130,130,
741,741,741,741,841,761,761,961,30,130,130,130,130,130,130,130,130,
10,10,10,10,761,761,761,961,30,130,130,130,130,351,451,451,551,
10,10,10,10,761,761,761,961,30,130,130,130,130,361,190,190,561,
10,10,10,10,761,761,761,961,30,130,130,130,130,361,190,190,561,
10,10,10,10,761,761,761,961,30,130,130,130,130,361,190,190,561,
10,10,10,10,761,761,761,961,30,130,130,130,130,371,471,471,571,
