14,17,,,,,,,,,,,,
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
161,161,161,161,161,161,161,161,161,161,161,161,161,161
